year,category,item_name,size,price_min,price_max
2021,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-E 200 IU,100 tabs,2.65,2.65
2021,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Garlic/Oil,100 tabs,2.25,2.25
2021,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Multi No Iron,100 tabs,2.35,2.35
2021,"OTC MEDICATIONS, VITAMINS, ETC",Vitamin-Omega,120 tabs,3.1,3.1
2021,PACKAGED MEAT,Beef Tips & Gravy,,4.25,4.25
2021,PACKAGED MEAT,EH Chicken Chili w/Beans,8 oz,1.6,1.6
2021,PACKAGED MEAT,EH Low Sodium Chili No Beans,8 oz,1.9,1.9
2021,PACKAGED MEAT,EKH Sardines,3.53 oz,0.85,0.85
2021,PACKAGED MEAT,EKH Tuna In Water,4.23 oz,1.6,1.6
2021,PACKAGED MEAT,Pink Salmon,,1.85,1.85
2021,SHOES,Reebok- Men & Women,,49.0,49.0
2021,SHOES,Shower Shoes,,5.5,7.0
2021,SHOES,Work Boot,,25.0,25.0
2021,SNACKS,Almonds,2.25 oz,1.8,1.8
2021,SNACKS,BBQ Chips,8 oz,1.25,1.25
2021,SNACKS,Cookies- Buds,8 oz,1.1,1.1
2021,SNACKS,Cookies-Marias,,0.5,0.5
2021,SNACKS,Cream Cheese Pound Cake,,0.9,0.9
2021,SNACKS,EKH Saltine Cracker,4 oz,0.35,0.35
2021,SNACKS,KH Energizer Mix,2 oz,0.4,0.4
2021,SNACKS,Spicy Pork Skins,2.75 oz,1.0,1.0
2021,SODAS,Big Red,12 oz,0.55,0.55
2021,SODAS,EK Dr Pepper,12 oz,0.55,0.55
2021,SODAS,EKH Coke Zero,12 oz,0.55,0.55
2021,SODAS,EKH Diet Coca Cola,12 oz,0.55,0.55
2021,SODAS,Fanta Orange,12 oz,0.55,0.55
2021,SODAS,Fanta Pineapple,12 oz,0.55,0.55
2021,SODAS,KH Diet Dr. Pepper,12 oz,0.55,0.55
2021,SODAS,Mountain Dew,12 oz,0.55,0.55
2021,SODAS,Root Beer,12 oz,0.55,0.55
2022,ART SUPPLIES,Adult Coloring Book (50 pg),,4.75,4.75
2022,ART SUPPLIES,Colored Pencils,12 pk,1.55,1.55
2022,ART SUPPLIES,Drawing Pad,9x12,1.3,1.3
2022,ART SUPPLIES,Illustration Boards,2 pk,4.5,4.5
2022,ART SUPPLIES,Mini Colored Pencils,24 pk,2.5,2.5
